Metric,Value
read_bandwidth_Bps,819405702
write_bandwidth_Bps,204484898
total_bandwidth_Bps,1023890600
max_internal_bandwidth_Bps,640000000000
max_link_bandwidth_Bps,480000000000
bandwidth_utilization_perc,0.15998290625
read_latency_avg_cycles,0.0
read_latency_ns_avg,0.0
queueing_latency_avg_cycles,5.127007
queueing_latency_ns_avg,4.101605
row_hits,10348613
row_misses,12142765
row_conflicts,1664601
row_hit_rate_perc,42.84079316346483
row_miss_rate_perc,50.26815514287374
row_conflict_rate_perc,6.891051693661433
avg_req_queue_length,0.137956
total_active_cycles_rw,638277162
dram_cycles_simulated,7549550000
dram_capacity_bytes,4294967296
channel_0_busy_cycles_includes_refresh,198870543
read_requests_total,19333033
write_requests_total,4824278
